,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
169,恩荣牌坊,0%,0,0,0%,,--,福建省龙岩市连城县培田村,,具体收费情况以现场公示为主,0
170,杨成武将军纪念馆,0%,0,1,0%,,4.0,龙岩市长汀县西外街27-2号,,具体收费情况以现场公示为主,0
171,振福楼,0%,0,1,0%,,4.3,福建省龙岩市永定县南江村,具体开放时间请咨询景区,额外收费，具体费用请咨询景区,0
172,梅花山国家级自然保护区,0%,0,0,0%,,--,龙岩市上杭县古田镇,,具体收费情况以现场公示为主,0
173,廖天山,0%,0,0,0%,,--,福建省龙岩市,,具体收费情况以现场公示为主,0
174,高北村,0%,0,0,0%,,--,永定县高头乡北高村,,具体收费情况以现场公示为主,0
175,杨成武将军纪念碑,0%,0,0,0%,,--,龙岩市长汀县,,具体收费情况以现场公示为主,0
176,小池培斜萌宠动物园,0%,0,0,0%,,5.0,龙岩市新罗区小池镇培斜村内,9:00-18:00,60元,0
177,佛灵寺夫人宫,0%,0,0,0%,,,,,,0
178,将军庙,0%,0,0,0%,,--,龙岩市新罗区,,具体收费情况以现场公示为主,0
179,古中峰寺,0%,0,0,0%,,--,福建省龙岩市上杭县旧县镇(近205国道),,具体收费情况以现场公示为主,0
180,闽西比干庙,0%,0,1,0%,,3.0,福建省龙岩市新罗区G76(厦蓉高速),,具体收费情况以现场公示为主,0
181,铭恩寺,0%,0,0,0%,,--,福建省龙岩市漳平市X671(漳华线),,具体收费情况以现场公示为主,0
182,小宝贝游乐园,0%,0,0,0%,,--,闽西交易城新发现广场4楼,,,0
183,连城塘前漂流（豸下莲乡风景区）,0%,0,1,0%,,5.0,龙岩市连城县塘前乡下辖村豸下莲乡景区,全年 9:00-17:00,具体收费情况以现场公示为主,0
184,龙岩卧龙山,0%,0,1,0%,,4.7,龙岩市长汀县兆征路8号,全年 8:00-18:00,具体收费情况以现场公示为主,0
185,江山镇,0%,0,3,0%,,,,,,0
186,永福花乡,0%,0,1,0%,,5.0,龙岩市漳平市G358,全年 全天开放,,0
187,龙岩朝斗岩,0%,0,0,0%,,--,福建省长汀县龙岩朝斗岩景区,全年 7:00-18:00,具体收费情况以现场公示为主,0
188,摩陀寨风景区,0%,0,0,0%,,4.0,龙岩市上杭县汀江河畔庐丰畲族乡,,具体收费情况以现场公示为主,0
189,武平下坝乡狮子山,0%,0,0,0%,,5.0,福建省武平县下坝乡,全年 全天开放,具体收费情况以现场公示为主,0
190,六甲五显宫,0%,0,0,0%,,--,东肖北路与南5路交叉口东南50米,,具体收费情况以现场公示为主,0
191,张化孙纪念馆,0%,0,0,0%,,--,和平北路30号,,具体收费情况以现场公示为主,0
192,莲庄公园,0%,0,0,0%,,--,新陂路与莲庄北路交叉口西南50米,,具体收费情况以现场公示为主,0
193,天主堂,0%,0,0,0%,,--,解放路574,,具体收费情况以现场公示为主,0
194,漳平市溪南镇基督教堂,0%,0,0,0%,,--,福建省龙岩市漳平市南洲东路溪南镇基督教堂,,,0
195,长流公园,0%,0,0,0%,,,,,,0
196,慈航阁,0%,0,0,0%,,--,西环路215号附近,,具体收费情况以现场公示为主,0
197,中山公园,0%,0,6,0%,,4.9,龙岩市新罗区和平路25号,,具体收费情况以现场公示为主,0
198,广福寺,0%,0,0,0%,,--,福建省龙岩市连城县S204,,具体收费情况以现场公示为主,0
199,张白土卧龙山恩凌古寺,0%,0,0,0%,,--,卧龙山恩凌寺附近,,具体收费情况以现场公示为主,0
200,石壁庵,0%,0,0,0%,,--,606省道附近,,具体收费情况以现场公示为主,0
201,菁城基督教堂,0%,0,0,0%,,--,208省道附近,,具体收费情况以现场公示为主,0
202,绵洋寺观音阁,0%,0,0,0%,,--,枫停路40号,,具体收费情况以现场公示为主,0
203,新泉礼拜堂,0%,0,0,0%,,--,龙岩市连城县厦成线中化石油连城县新长加油站东侧约230米,,具体收费情况以现场公示为主,0
204,吴公庵,0%,0,0,0%,,--,福建省龙岩市新罗区莲花山公园吴公庵,,具体收费情况以现场公示为主,0
205,易氏宗祠,0%,0,0,0%,,--,南山小学附近,,具体收费情况以现场公示为主,0
206,紫金公园,0%,0,3,0%,,4.5,临江镇工业园区对面,,,0
207,迎恩宫,0%,0,0,0%,,--,福建省龙岩市漳平市凯源锦绣名城(B区),,具体收费情况以现场公示为主,0
208,天王殿,0%,0,0,0%,,--,西安南路24号,,具体收费情况以现场公示为主,0
209,莲滨公园,0%,0,0,0%,,--,莲庄北路,,具体收费情况以现场公示为主,0
210,茶阳沙场,0%,0,0,0%,,--,福建省龙岩市永定区S203,,具体收费情况以现场公示为主,0
211,哈米儿童畅想小镇,0%,0,0,0%,,--,登高中路登高公园大榕树旁(青少年宫隔壁),,,0
212,交易城中心广场,0%,0,0,0%,,--,龙岩市新罗区双洋路与中兴路交汇处附近,,具体收费情况以现场公示为主,0
213,天马广场,0%,0,0,0%,,--,龙腾南路与203省道交叉口西南150米,,具体收费情况以现场公示为主,0
214,爱就推门儿童主题乐园,0%,0,0,0%,,--,交易城卡麦龙商业广场三楼B3-10号,,,0
215,溪南广场,0%,0,0,0%,,--,龙岩市新罗区溪南路31号,,具体收费情况以现场公示为主,0
216,太福寺,0%,0,0,0%,,--,福建省龙岩市长汀县,,具体收费情况以现场公示为主,0
217,客家红博物馆,0%,0,2,0%,,4.0,福建省龙岩市连城县百花金城3幢,,具体收费情况以现场公示为主,0
218,城市公园,0%,0,0,0%,,--,龙岩市连城县董屋山1幢,,具体收费情况以现场公示为主,0
219,红江公园,0%,0,1,0%,,5.0,福建省龙岩市长汀县S205,,,0
220,三洲中国历史文化名村,0%,0,0,0%,,--,福建省龙岩市长汀县三洲镇X651(旧),,具体收费情况以现场公示为主,0
221,宗保公祠,0%,0,0,0%,,--,福建省龙岩市长汀县X650,,具体收费情况以现场公示为主,0
222,西凤山寺,0%,0,0,0%,,5.0,抚市镇鹊岭附近,,具体收费情况以现场公示为主,0
223,永定县小神童室内儿童游乐园,0%,0,0,0%,,--,永定县坎市镇新街(工商银行),,,0
224,小脚丫游乐园(永定实验幼儿园店),0%,0,0,0%,,--,福建省龙岩市永定区环城东路23号,,,0
225,新丰寺,0%,0,0,0%,,--,福建省龙岩市长汀县大同镇新丰寺(国通·浅水湾附近),,具体收费情况以现场公示为主,0
226,福建省中央苏区博物馆,0%,0,0,0%,,--,东环南路与车前巷交叉口西北50米,,,0
227,明清牌匾陈列馆,0%,0,0,0%,,--,福建省龙岩市连城县莲峰镇杨屋观景路客家方志馆博物馆,,具体收费情况以现场公示为主,0
228,磊髻仙山,0%,0,0,0%,,--,福建省龙岩市上杭县稳田镇官田村,,具体收费情况以现场公示为主,0
229,红四军出击闽中纪念馆,0%,0,0,0%,,0.0,象湖镇杨美村,,,0
230,庆福楼,0%,0,2,0%,,5.0,龙岩市永定区永定县,,,0
231,陈丕显纪念馆,0%,0,0,0%,,--,福建省龙岩市上杭县,,,0
232,岩泉寺,0%,0,0,0%,,--,福建省龙岩市漳平市S7211(永漳高速),,具体收费情况以现场公示为主,0
233,金莲山,0%,0,0,0%,,--,福建省龙岩市永定区,,具体收费情况以现场公示为主,0
234,显灵宫,0%,0,0,0%,,--,龙岩市漳平市拱桥镇梧地村村口,,具体收费情况以现场公示为主,0
235,林氏祠堂,0%,0,0,0%,,--,林业公路,,具体收费情况以现场公示为主,0
236,太忠庙,0%,0,0,0%,,--,龙岩市上杭县瓦子街109号,,具体收费情况以现场公示为主,0
237,佳贝贝游乐园,0%,0,0,0%,,--,福建省龙岩市新罗区龙岩大道383号万阳城3层,,,0
238,才趣多儿童开心乐园,0%,0,0,0%,,--,龙岩大道万宝广场一号门口,,,0
239,陈贞庙,0%,0,0,0%,,--,龙岩市新罗区天平路52号,,具体收费情况以现场公示为主,0
240,卢嘉锡祖籍地思乡亭,0%,0,0,0%,,--,福建省龙岩市永定区浮山村天灯坪,,具体收费情况以现场公示为主,0
241,泽东楼,0%,0,0,0%,,--,抚市镇五湖村,,具体收费情况以现场公示为主,0
242,红四军前敌委员会旧址,0%,0,0,0%,,0.0,龙岩市漳平市,,,0
243,红四军阅兵场,0%,0,0,0%,,0.0,龙岩市上杭县古田镇古田路76号古田会议会址内,,,0
244,江山财神庙,0%,0,0,0%,,--,福建省龙岩市新罗区内寨附近,,具体收费情况以现场公示为主,0
245,榉子洲公园,0%,0,3,0%,榉子洲公园风景优美，园内古树参天，绿树成荫，集多种娱乐场所为一处。,5.0,龙岩市漳平市林隆路与桂北路交叉口北150米,,,0
246,纪念碑公园,0%,0,0,0%,,--,才溪大道与205国道交叉口东北200米,,具体收费情况以现场公示为主,0
247,中共红四军前敌委员会旧址-新邱厝,0%,0,0,0%,,0.0,和平路32,,,0
248,蓝宝童儿童乐园,0%,0,0,0%,,--,双泉路122-2号附近,,,0
249,中央苏区(闽西)历史博物馆,0%,0,2,0%,,4.6,中城街道北环西路51号,全年 08:15-11:45;全年 14:15-17:15;全年 周一 全天不开放,,0
250,奇乐儿·儿童主题公园,0%,0,0,0%,,--,中山西路步行街45号新时代国际影城4层,,,0
251,马头宫,0%,0,0,0%,,--,龙岩市新罗区北环东路28-25号,,具体收费情况以现场公示为主,0
252,龙岩市海西书画院,0%,0,0,0%,,--,莲南路666号G2幢,,,0
253,小牛顿科学馆,0%,0,0,0%,,--,福建省龙岩市新罗区和平路附近,,具体收费情况以现场公示为主,0
254,福建工商史料馆,0%,0,0,0%,,--,龙岩市上杭县古田路龙洲集团股份有限公司上杭分公司古田客运站西侧约100米,,,0
255,漳平奇石文化城,0%,0,0,0%,,--,福建省漳平市208省道,,,0
256,高陂规划展示馆,0%,0,0,0%,,--,龙岩市永定区双湖实业发展有限公司附近,,具体收费情况以现场公示为主,0
257,龙岩市艺术馆,0%,0,0,0%,,--,福建省龙岩市和平路33号,,具体收费情况以现场公示为主,0
258,武平县图书馆,0%,0,0,0%,,--,政府路5号,全年 周一 08:30-12:00;全年 周二-周日 08:30-18:00,具体收费情况以现场公示为主,0
259,武平文博园,0%,0,4,0%,,5.0,育才路北200米,,具体收费情况以现场公示为主,0
260,盛世天华画廊(龙岩店),0%,0,0,0%,,--,莲西路条围家世界a栋,,,0
261,唐天红艺术馆,0%,0,0,0%,,--,龙腾南路志高神州欢乐园15号店,,,0
262,山丘沙画艺术中心,0%,0,0,0%,,--,西陂街道龙岩大道万阳城6楼19号,,,0
263,起航艺术馆,0%,0,0,0%,,--,203省道东50米,,,0
264,茶果汇,0%,0,0,0%,,--,龙池路附近,,,0
265,朱坊影剧院,0%,0,0,0%,,--,朱坊村村委会附近,,,0
266,怀德图书馆,0%,0,0,0%,,--,203省道西150米,,,0
267,艺典中心剧场,0%,0,0,0%,,--,九一南路36号,,,0
268,汀州试院,0%,0,4,0%,,4.4,龙岩市长汀县兆征路98号,,具体收费情况以现场公示为主,0
269,帕乐菲尔亲子游乐园,0%,0,0,0%,,--,世纪天成2楼(大丰收旁),,,0
270,漳平市博物馆,0%,0,1,0%,漳平市博物馆坐落在风景优美、环境幽静和具有历史文化象征意义的东山公园风景区内，馆内记录了漳平的悠久历史，文化底蕴深厚。,--,东山公园内,,具体收费情况以现场公示为主,0
271,华鸿鹿园,0%,0,0,0%,,--,文亨镇湖丰村往前5公里,,具体收费情况以现场公示为主,0
272,动漫亲子嘉年华,0%,0,0,0%,,--,红权路紫金山体育公园,周一至周五15:00-21:30，周六周日9:00-21:00,,0
273,方方纪念馆,0%,0,0,0%,,4.0,龙岩市长汀县营背街朝斗岩路2号,,具体收费情况以现场公示为主,0
274,农民画院,0%,0,0,0%,2010年7月，漳平农民画院成立时，仅有10多名画师，漳平大力倡导农民画与当地特色花、茶产业相结合。漆画脱胎于古老漆艺的漆画以天然大漆为主要材料，福建是中国现代漆画的发祥地之一。农民画转化为漆画，有其得天独厚的条件。目前拥有农民漆画作者2…,--,和平南路735号,,,0
275,东城街道档案资料室,0%,0,0,0%,,--,工业东路,,,0
276,永定县博物馆,0%,0,0,0%,,--,凤城镇九一大街164号,,,0
277,水源山老年人活动乐园,0%,0,0,0%,,--,龙腾南路,,,0
278,关爱文化馆,0%,0,0,0%,,--,闽西文化艺术中心6楼固,,,0
279,傅雅斋画廊,0%,0,0,0%,,--,九一南路30号轻工23楼,,,0
280,龙岩市档案馆,0%,0,0,0%,,--,军民路,,,0
281,龙岩城市规划展示馆,0%,0,0,0%,,--,大道龙岩市博物馆内南侧,,,0
282,客家族谱博物馆,0%,0,0,0%,,0.0,龙翔大道客家缘文化中心,,具体收费情况以现场公示为主,0
283,龙车革命纪念馆,0%,0,0,0%,,4.0,308省道,,具体收费情况以现场公示为主,0
284,华侨历史博物馆,0%,0,1,0%,,4.0,白土街,,具体收费情况以现场公示为主,0
285,永定县图书馆,0%,0,0,0%,,--,南通路24号,全年 周二-周日 08:00-17:30,具体收费情况以现场公示为主,0
286,中山镇太平村光华图书室,0%,0,0,0%,,--,中山镇205省道太平村村委会附近,,具体收费情况以现场公示为主,0
287,成功图书馆,0%,0,0,0%,,--,曹溪镇闽西职业技术学院南校区,,,0
288,龙岩市少儿书画院,0%,0,0,0%,,--,梅林路12号,,,0
289,野生动物观赏园,0%,0,0,0%,,--,北环路,,具体收费情况以现场公示为主,0
290,龙工图书馆,0%,0,0,0%,,--,龙岩学院内,,,0
291,后田暴动纪念馆,0%,0,0,0%,,0.0,后田西路105号,,具体收费情况以现场公示为主,0
292,天彩书画社,0%,0,0,0%,,--,振兴路,,,0
293,文化馆业余美术学校(高中部店),0%,0,0,0%,,--,环东路(近高中部),,,0
294,邓子恢纪念馆,0%,0,0,0%,,--,龙岩市新罗区后田西路108号,,具体收费情况以现场公示为主,0
295,城建档案馆,0%,0,0,0%,,--,登高中路70号,,,0
296,临城镇同康村阅览室,0%,0,0,0%,,--,二环路,,,0
297,项南同志纪念馆,0%,0,0,0%,,--,朋口镇文坊村,,具体收费情况以现场公示为主,0
298,新四军二支队纪念馆,0%,0,0,0%,,--,Y041,,,0
299,王寿山国家森林公园,0%,0,7,0%,,4.1,福建省永定县洪山乡柘林村,全年 8:00-17:00,,0
300,上杭文庙,0%,0,6,0%,,4.4,福建省龙岩市上杭县,,具体收费情况以现场公示为主,0
301,龙岩博物馆,0%,0,13,0%,,4.6,龙岩市新罗区龙岩大道2号,除双休日和国家规定的节日外，每天上午8∶00～12∶00，下午2∶30～6∶00（夏天为3∶00～6∶00）,具体收费情况以现场公示为主,0
302,梁野山自然保护区,0%,0,26,0%,,,,,,0
303,莲花山公园,0%,0,18,0%,,4.7,南环西路58号,,具体收费情况以现场公示为主,0
304,莲花山,0%,0,38,0%,,4.8,龙岩市新罗区南环西路58号,,具体收费情况以现场公示为主,0
305,连城县新泉革命纪念馆,0%,0,0,0%,,0.0,温泉路,,具体收费情况以现场公示为主,0
306,冠豸山-长寿峰,0%,0,14,0%,,4.5,龙岩市连城县冠豸山,5月-10月8:00-17:30；11月-次年4月8:30-17:00,具体收费情况以现场公示为主,0
307,成翘书院,0%,0,1,0%,,4.0,龙岩市上杭县古田镇,,具体收费情况以现场公示为主,0
308,仰云亭,0%,0,1,0%,,4.3,龙岩市连城县冠豸山景区内,,,0
309,雁门书院,0%,0,2,0%,,4.3,龙岩市连城县冠豸山区域内,,,0
310,四堡书坊建筑,6,0,0,0%,,5.0,龙岩市四堡乡中南村,,具体收费情况以现场公示为主,0
311,善庆楼,0%,0,1,0%,,5.0,福建省永定县下洋镇初溪村,全年 7:00-19:00,初溪土楼群门票70元/人，包括集庆楼、绳庆楼、善庆楼、庚庆楼、共庆楼、博物馆。,0
312,龙岩体育公园,0%,0,19,0%,,4.5,福建龙岩新罗区龙腾中路龙岩体育公园,,具体收费情况以现场公示为主,0
313,龙门塔,0%,0,5,0%,,4.5,福建省龙岩市新罗区龙门街道罗龙西路御佳园西北250米,,具体收费情况以现场公示为主,0
314,竹贯古村落,0%,0,0,0%,,0.0,万安镇竹贯村古村落,全年 全天开放,具体收费情况以现场公示为主,0
315,千百卉亲子种植体验,33,0,1,0%,,5.0,龙岩市新罗区龙腾北路农科所斜对面,10:00-18:00,26元,0
316,和兴楼,2,0,0,0%,,4.5,龙岩市永定区309省道,,具体收费情况以现场公示为主,0
317,存耕堂,22,0,3,0%,,4.7,龙岩市上杭县970县道,全年 全天开放,具体收费情况以现场公示为主,0
318,集庆楼,3,1,10,0%,,4.2,龙岩市永定县下洋镇初溪村,全年 7:00-19:00,初溪土楼群门票70元/人，包括集庆楼、绳庆楼、善庆楼、庚庆楼、共庆楼、博物馆。,0
319,中山路步行街,37,3,106,0%,,4.3,龙岩市新罗区中山路,全年 全天开放,具体收费情况以现场公示为主,0
320,宝兴茗店广场,43,0,24,0%,,4.3,中山路二期二层宝兴名店广场,全年 10:00-21:30,具体收费情况以现场公示为主,0
321,红尖山,18,2,5,0%,,4.5,龙岩市新罗区,,具体收费情况以现场公示为主,0
322,连南区革命委员全旧址,38,0,2,0%,,4.5,龙岩市连城县新泉乡,,,0
323,芷溪古村,8,1,12,0%,,3.1,龙岩市连城县南部庙前镇,全年 全天开放,具体收费情况以现场公示为主,0
324,中华山,9,0,1,0%,,5.0,龙岩市连城县新泉镇境内,,具体收费情况以现场公示为主,0
325,客家土楼民俗文化村（洪坑）,10,1,143,0%,,,,,,0
326,龙池书院,12,0,4,0%,,4.8,龙岩市新罗区小池镇汪洋村,,,0
327,树槐堂,40,0,1,0%,,,,,,0
328,蛟洋文昌阁,41,0,4,0%,,,,,,0
329,梁山书院,42,0,6,0%,,5.0,龙岩市武平县平川镇政协巷,,具体收费情况以现场公示为主,0
330,江山睡美人,8,0,13,0%,,4.3,龙岩市新罗区江山风景区内,全年 全天开放,具体收费情况以现场公示为主,0
331,中国四堡雕版印刷展览馆,45,0,7,0%,,3.8,福建省龙岩市龙岩市,1/1-4/30 08:30-17:00;5/1-10/31 08:00-17:30;11/1-12/31 08:30-17:00,具体收费情况以现场公示为主,0
332,九龙湖(九龙洞群),11,0,15,0%,,4.3,中国福建省龙岩市连城县九龙湖,夏季（5月1日-10月31日）8:00-17:30；冬季（11月1日-次年4月30日）8:00-17:00。,80元,70
333,石山园,12,0,3,0%,,4.5,龙岩市江山乡内寨村,,,0
334,天宫山,46,0,17,0%,,4.7,龙岩市雁石镇,全年 全天开放,具体收费情况以现场公示为主,0
335,上杭七峰山,9,0,13,0%,,3.7,北部,全年 9:00-16:50,20元,0
336,狮岩,47,0,6,0%,,4.8,龙岩市武平县岩前镇狮岩路15号,全年 7:30-17:00,,0
337,梅花山中国虎园,48,0,85,0%,,4.5,龙岩市上杭县古田镇步云乡马坊村,全年 08:30-17:00,50元,45
338,客家母亲缘广场,5,1,0,0%,世界客属公祭圣地——客家母亲园，占地面积105亩，位于长汀五通桥汀江与金沙河交汇处，形状如一般正在航行的木船，船中央的青石雕像为客家母亲像。她手执船浆，身背幼儿，一只手将摘下的野花递给孩子，面容慈爱，是年轻的客家劳动妇女的化身。世界…,--,福建省龙岩市长汀县东关大街,全天,免费,0
339,天后宫,8,1,0,0%,汀州天后宫位于长汀县城东大街，朝天门外。由山门、朗门、戏台、钟鼓楼、水阁楼、前殿、正殿、后殿及圣母间组成，是汀州八邑敬奉妈祖的场所和旅游观光胜地。,--,长汀县濯田镇人民政府西,,,0
340,长汀太平桥,26,0,0,0%,长汀太平桥是一座双廊桥，全长近百米，造型典雅、古朴，翘角飞檐，犹如双龙飞渡汀江之上。,--,福建省龙岩市长汀县,全天开放,门票免费,0
341,厦门大学汀州校址,49,1,0,0%,长汀县的城关中区小学。1937年抗日战争爆发时，萨本栋带领一众师生将厦大迁到这里。正是在这里，厦大有了“南方之强”的美誉。,--,汀州镇汀州镇兆征路10号,全天开放,门票免费,0
342,瞿秋白烈士纪念馆,50,1,2,0%,,4.8,长汀县西外街46号,全天开放,具体收费情况以现场公示为主,0
343,红色米市场旧址,9,1,0,0%,,--,福建省龙岩市长汀县水东街83号,,,0
344,汀州状元亭,51,1,0,0%,汀州状元亭又名八角亭、白沤亭，位于汀州第一古刹的开元寺旁不远处的状元峰，是长汀著名八景十二处之一的文物古迹，为长汀标志性古建筑。状元亭始建于明代汀，距今已有四百多年历史，在《长汀县志》中有记载到。,--,东门街兆征路20号长汀县文化馆对面,,,0
345,培斜村,52,0,0,0%,培斜村位于新罗区西部，距中心城区18公里（车程约20分钟），是革命老区基点村。,--,福建省龙岩市新罗区小池镇培斜村,；,,10
346,荣昌楼（中川文化陈列馆）,53,2,1,0%,中川古村落是福建省龙岩市永定区下洋镇重点开发的旅游区之一。中川古村落有奇特的九级半的典故，有富丽堂皇的宗祠，有高耸林立的功名碑等特色。体现客家人独特风俗。,--,福建省龙岩市永定区下洋镇,8:00-17:30,10元/人,0
347,金砂红色旧址群,24,1,0,0%,永定金砂红色旧址群于2014年被评为3A级景区,--,龙岩市309省道附近,,,0
348,连城县博物馆,25,1,2,0%,位于龙岩连城县的客家文化博物馆，展示了客家文化的历史变迁。,0.0,龙岩市连城县观景路冠豸山风景区内,5月—10月：8：00—17：30 11月—4月：8：30—17:00,115元,0
349,土楼沟,7,1,2,0%,土楼沟位于南江村，落于青山之间，溪流穿村而过，23座土楼和一片独具特色的“女儿林”见证着该村400多年的历史。,5.0,龙岩市永定县湖坑镇南江村,全天,免费,0
350,虎豹塔,2,1,2,0%,虎豹塔位于中川古村落景区内，塔高七层，整体的建筑外形是八卦式，琉璃葫芦顶，造型独特，具有典型的古典风格。,5.0,福建省永定区下洋镇中川村,7:00~19:00,门票包含在中川古村落景区门票内，中川古村落景区门票30元,0
351,胡氏家庙,8,1,3,0%,,4.0,龙岩市永定县中川村虎豹别墅往里走百米许,7:00~19:00,具体收费情况以现场公示为主,0
352,赖源溶洞,27,1,14,0%,,4.6,龙岩市连城县赖源乡上村,5月1日-10月31日（夏季）8:00-17:30；11月1日-次年4月30日（冬季）8:00-16:30；节假日正常开放。,80元,60
353,客家民俗文化古街区,13,2,1,0%,"客家民俗文化古街区展示了客家人的民俗文化,这里还原了农具店、小吃店、黄酒铺、豆腐坊、布衣店、当铺、药铺等等,重现客家人古时的集市生活场景。",5.0,龙岩永定县湖坑镇土楼风情街的福建土楼自然博物馆内部,周二至周日：9:00-17:00 <BR>周一闭馆，16:00停止入馆,150元为福建土楼自然博物馆的成人票价,0
354,灵芝寺,29,1,0,0%,灵芝寺建在连城冠豸山的灵芝峰下，主祀观音菩萨。,--,龙岩市连城县观景路冠豸山风景区内	,5月~10月：08:00~17:30 11月~4月：08:30~17:00,位于冠豸山景区内，景区门票115元,0
355,竹安寨,54,1,12,0%,,4.5,龙岩市连城县豸前街,5月1日-10月31日8:00-17:30；11月30日-次年4月30日8:30-17:00。,65元,60
356,红豆杉生态园,4,0,8,0%,,5.0,龙岩市上杭县步云乡崇头村,全年 8:00-18:00,20元,0
357,星火燎原主题蜡像馆,7,0,5,0%,,4.3,古田镇曙光路2幢,全年 8:00-17:30,具体收费情况以现场公示为主,0
358,侨福楼,55,1,72,0%,,4.5,高北村天助楼组50号,全年 7:00-20:00,参观50元，住宿另外收费。,118
359,兜率天宫,31,4,1,0%,兜率天位于佛教欲界六重天的第四重天，为天界最殊胜的天。主体建筑高81米，由下到上依次为七重宝恒、善法堂、莲花。善法堂顶端为佛教的象征——巨型紫金莲花。莲花直径68米，高18米，为世界之最。莲花内为金碧辉煌的千人大法堂。兜率天宫是迄今为止…,5.0,浙江省绍兴市柯桥区湖塘街道大香林风景区,8:30-16:30,100元,0
